键名,中文（改这一列）,English（改这一列）,占位符（别改）,分组,用在哪一页,说明
freeformSlot,自由拍摄,Free-form,,Record,底部标签栏（计划 / 拍摄）,
fileToPlan,存入计划,File to a plan,,Record,拍摄页,
fileThisClipTo,把这段视频存入…,File this clip to…,,Record,拍摄页,
makePlanFirst,先在计划页创建一个计划,Make a plan first in Plans,,Record,拍摄页,
filedTo,已存入「\(title)」,Filed to “\(title)”,YES,Record,拍摄页 / 草稿箱,
tapToStop,点按停止,Tap to stop,,Record,拍摄页,
orientationHeader,画幅,Orientation,,Record,间接引用（拼在别的文案里）,
orientationPortrait,竖屏,Portrait,,Record,草稿箱 / 新建故事 · 海报和设置,
orientationLandscape,横屏,Landscape,,Record,草稿箱 / 新建故事 · 海报和设置,
orientationSquare,正方形,Square,,Record,草稿箱 / 新建故事 · 海报和设置,
switchOrientation,切换画幅,Switch frame,,Record,拍摄页,
flipCamera,切换前后摄像头,Flip camera,,Record,拍摄页,
customZoom,自定义,Custom,,Record,拍摄页 · 相机上的控件,
closeCustomZoom,收起自定义倍数,Close custom zoom,,Record,拍摄页 · 相机上的控件,
zoomTo,缩放 \(value),Zoom \(value),YES,Record,拍摄页 · 相机上的控件,
zoomSlider,缩放倍数,Zoom level,,Record,拍摄页 · 相机上的控件,
orientationName,竖屏,portrait,,Record,间接引用（拼在别的文案里）,"The frame a clip was filmed in, named the way the picker names it — so ""no landscape plan yet"" and the row that would have created one agree.  Taken as the orie"
noMatchingPlan,没有\(kind)计划，先创建一个,No \(kind) plan yet — create one first,YES,Record,拍摄页,
saveAsDraft,先存起来,Keep it for now,,Record,拍摄页,
createStoryNow,现在就建个故事,Start a story now,,Record,拍摄页,
noPlaceYet,这段还没有地方放,Nowhere to put this yet,,Record,拍摄页,
keepClipQuestion,这段还没归档,This clip isn't filed yet,,Record,底部标签栏（计划 / 拍摄） / 拍摄页,
keepClip,保留,Keep,,Record,底部标签栏（计划 / 拍摄） / 拍摄页,
discardClip,丢弃,Discard,,Record,底部标签栏（计划 / 拍摄） / 拍摄页,
keepClipFootnote,「保留」会存进草稿，之后再决定放进哪个故事。「丢弃」之后这段就找不回来了。,Keep puts it in drafts to file later. Discard means it's gone.,,Record,拍摄页,"Names where ""keep"" puts it. Without this the two buttons are a coin toss — nobody should have to guess whether ""保留"" means it goes somewhere findable or just sta"
draftSaveFailed,这段没保住，再试一次？,Couldn't keep this clip. Try again?,,Record,拍摄页,
draftKept,已存起来,Kept for later,,Record,拍摄页,
draftsPending,\(count) 段待归档,\(count) waiting to be filed,YES,Record,草稿箱,
draftsTitle,待归档,Waiting to be filed,,Record,草稿箱,
draftsEmpty,没有待归档的片子。录完找不到地方放的时候，会先存到这里。,Nothing waiting. Clips with nowhere to go get kept here.,,Record,草稿箱,
archiveDraft,归档到…,File to…,,Record,草稿箱,
deleteDraft,删除,Delete,,Record,草稿箱,
draftArchiveFailed,没归档成功，片子还在这儿,Couldn't file it. The clip is still here.,,Record,草稿箱,
storyIsFull,这个故事满了，没有空位,That story is full — no slot left.,,Record,拍摄页 / 草稿箱,"Every slot in that story already holds a clip. Filing here would have to overwrite one, so it doesn't."
noPlaceForDraft,还没有\(kind)的故事能放这段,No \(kind) story can take this yet,YES,Record,草稿箱,"No matching story for this clip's frame, from inside the drafts list — where ""retake"" isn't an option, so it says what would help instead."
draftsTotalSize,共占用,Using,,Record,草稿箱,
cameraUnavailable,相机不可用,Camera not available,,Record,拍摄页,
retryCamera,重新打开相机,Try camera again,,Record,拍摄页,
cameraDeniedTitle,还没允许使用相机,Camera access is off,,Record,拍摄页,"Said separately from ""camera not available"", because the way out is different: iOS won't ask a second time, so retrying here can never work."
cameraDeniedFootnote,系统只会问一次。到「设置 → 1Day → 相机」打开就可以接着拍。,iOS only asks once. Turn it on in Settings → 1Day → Camera and you're back.,,Record,拍摄页,
useDemoClip,为「\(title)」使用示例片段,Use demo clip for \(title),YES,Record,拍摄页,
openingCamera,正在打开相机,Opening camera,,Record,拍摄页,
captureState,拍摄中 · \(secondsLabel),Recording · \(secondsLabel),YES,Record,拍摄页,
momentPosition,第 \(index) 个瞬间，共 \(total) 个,Moment \(index) of \(total),YES,Record,拍摄页 · 相机上的控件,"Spoken by the progress bars over the camera. There is no visible version of this — the bars themselves say it, and they only appear when the numbers in them are"
addCaption,加一句字幕,add a caption,,Record,拍摄页 · 相机上的控件,
writeOnMoment,给这个瞬间写点什么,Write on this moment,,Record,拍摄页 · 相机上的控件,
rerecord,重录这一天,Re-record this day,,Clip preview,间接引用（拼在别的文案里）,
rerecordShort,重拍,Retake,,Clip preview,回看页（拍完看这一段）,"The same action as `rerecord`, for a chip sitting on top of the video where ""Re-record this day"" wraps to two lines and stops being a chip."
thisMoment,这个瞬间,This moment,,Clip preview,回看页（拍完看这一段）,"The review screen's card of things you can do to one moment, and the button that gives the clip the whole display when you want it."
addReaction,加个表情,Add a reaction,,Clip preview,回看页 · 表情和留言,
meTitle,我,Me,,Clip preview,设置页「我」,"The settings screen, which leads with who you are rather than with a list of switches."
tapToRename,点这里改名字,Tap to rename,,Clip preview,设置页「我」,
signedInWithApple,已用 Apple ID 登录,Signed in with Apple,,Clip preview,设置页「我」,
statStories,故事,Stories,,Clip preview,设置页「我」,
statMoments,瞬间,Moments,,Clip preview,设置页「我」,
statFinished,拍完了,Finished,,Clip preview,设置页「我」,"Stories with every moment filmed. Deliberately not ""films exported"" — nothing tracks exports, and a number the app can't actually count is worse than one it can"
anyEmojiPlaceholder,或者打任意表情,Or type any emoji,,Clip preview,回看页 · 表情和留言,
captionAction,加字幕,Caption,,Clip preview,回看页（拍完看这一段）,"The chip that opens the caption editor. `addCaption` is the placeholder *inside* the editor, which is a sentence; this is a button, which isn't."
comments,评论,Comments,,Clip preview,间接引用（拼在别的文案里）,
firstComment,抢个沙发，说点什么吧。,Be the first to say something.,,Clip preview,回看页 · 表情和留言,
addComment,写评论…,Add a comment…,,Clip preview,回看页 · 表情和留言,
lookTitle,柔和一点,A gentler look,,How you look,回看页 · 调色面板,"Never ""美颜"" and never ""beauty"". Both words presume something is wrong with the face in the picture; the phone's camera is what was unkind."
lookFootnote,只改回看和成片。原片一直在，随时能关。,Changes playback and the film only. The recording is untouched.,,How you look,回看页 · 调色面板,"The promise, said out loud on the screen where it matters: the file is never touched, so this is always undoable."
lookExposure,亮度,Exposure,,How you look,回看页 · 调色面板,"The three dials. Named for what the camera got wrong, not for the Core Image filter underneath — nobody films thinking ""my white point is off""."
lookTemperature,色温,Warmth,,How you look,回看页 · 调色面板,
lookContrast,对比,Contrast,,How you look,回看页 · 调色面板,
lookReset,复位,Reset,,How you look,回看页 · 调色面板,Puts all three dials back to centre.
lookHoldToCompare,按住看原片,Hold to see the original,,How you look,回看页 · 调色面板,
lookRemember,以后都这样看,Keep this from now on,,How you look,回看页 · 调色面板,
lookRememberFootnote,关掉的话，下次打开 app 就回到原样 —— 这次调的只算这次。,"With this off, the app opens on “As shot” next time — today's choice is just for today.",,How you look,回看页 · 调色面板,
sequence,顺序,Sequence,,Final reel,成片页,
saving,保存中…,Saving…,,Final reel,成片页 · 底部按钮,
stitchFailed,合成失败,Stitching failed,,Final reel,成片页,
yourFilmIsHere,你的影片来了,Your film is here,,Final reel,故事页,
reminderBody,第 \(day) 天到了，来记录今天的瞬间,Day \(day) is here — capture today's moment,YES,Final reel,晚间提醒的手机通知,
reminderBodyWithPrompt,第 \(day) 天 · \(prompt) — 来记录今天,Day \(day) · \(prompt) — time to capture it,YES,Final reel,晚间提醒的手机通知,
stitching,正在把你的片段合在一起…,Stitching your week together…,,Final reel,间接引用（拼在别的文案里）,
photosDenied,需要相册权限才能保存视频。,Photos access is needed to save the video.,,Final reel,成片页,
savedToPhotos,已保存到相册。,Saved to Photos.,,Final reel,成片页,
saveFailed,保存视频失败：\(error),Couldn't save video: \(error),YES,Final reel,成片页,
titleCardSubtitleOneDay,一日影片 · \(recorded)/\(total) 个瞬间 · 每段 \(secondsLabel),1-day film · \(recorded)/\(total) \(secondsLabel) \(momentWord(total)),YES,Final reel,成片页,
overlays,叠层,Overlays,,Adjust sheet,成片页,
openingTitleCard,开场标题卡,Opening title card,,Adjust sheet,成片页,
dayCaptions,日期字幕,Day captions,,Adjust sheet,成片页,
transition,转场,Transition,,Adjust sheet,成片页,
cut,硬切,Cut,,Adjust sheet,成片页,
hardCutsFooter,0 = 硬切，日记感更利落。,0 = hard cuts for a snappier diary film.,,Adjust sheet,成片页,
adjust,调整,Adjust,,Adjust sheet,成片页 · 底部按钮 / 成片页,
editPlan,编辑计划,Edit plan,,Adjust sheet,故事页 / 故事页 · 顶部,
planTitle,计划名称,Plan name,,Adjust sheet,故事页 · 顶部,
captureTitles,拍摄标题,Capture titles,,Adjust sheet,故事页 · 顶部,
editPlanFootnote,修改会保存到这台设备，不会更改朋友设备上的标题。,Changes stay on this device and do not rename titles on your friends’ devices.,,Adjust sheet,故事页 · 顶部,
yourOrder,你的顺序（\(count)）,YOUR ORDER (\(count)),YES,Build template,自己建题目模板,
promptPool,提示词库,PROMPT POOL,,Build template,自己建题目模板,
nameYourTemplate,给模板起个名字,Name your template,,Build template,自己建题目模板,
saveToTemplateLibrary,存进我的模板库,Save to my template library,,Template library & covers,自己写题目（AI 写瞬间）,
saveToTemplateLibraryNote,下次开新故事，这套题目还在，直接选就行。,"Next time you start a story, this set of prompts is still there.",,Template library & covers,自己写题目（AI 写瞬间）,
templateCoverLabel,封面,COVER,,Template library & covers,自己建题目模板 / 自己写题目（AI 写瞬间）,
chooseCoverFromPhotos,从相册选一张,Choose from photos,,Template library & covers,题目封面选择,
presetCoverHeading,选一个喜欢的场景,Choose a scene,,Template library & covers,题目封面选择,
automaticCover,自动搭配,Automatic,,Template library & covers,题目封面选择,
matchedCoverNote,不选也行，会按你写的题目配一张。,Or leave it — we'll match one to the prompts you wrote.,,Template library & covers,题目封面选择,
recordTogether,一起记录,Record together,,Sign in,登录,
signInBody,登录后朋友就能看到每段视频是谁拍的。\n我们只使用你的名字。,Sign in so friends can see who filmed each clip.\nWe only use your name.,,Sign in,登录,
notNow,先不了,Not now,,Sign in,第一次开通知的说明页 / 登录,
errorSignInFirst,先用 Apple 登录，才能和朋友一起拍摄。,Sign in with Apple first to record with friends.,,Errors (stores / services),出错提示,
errorICloud,请登录 iCloud（设置 ▸ 你的名字）才能和朋友一起拍摄。,Sign into iCloud (Settings ▸ your name) to record with friends.,,Errors (stores / services),房间同步失败时的报错,
errorNoRoom,没有这个邀请码的房间，请和朋友确认一下。,No room with that code. Double-check it with your friend.,,Errors (stores / services),房间同步失败时的报错,
errorIndexDeploying,房间还没准备好 — CloudKit 索引还在部署中。,Room isn't set up yet — the CloudKit index is still deploying.,,Errors (stores / services),房间同步失败时的报错,
errorNetwork,连不上 iCloud，检查一下网络再试。,Can't reach iCloud. Check your connection and try again.,,Errors (stores / services),房间同步失败时的报错,
greeting,夜深了,Still up,,Plans home,首页,Time-of-day greeting. The name is optional — a solo user never signs in.
todaysStory,今天的故事,Today's story,,Plans home,首页,
resumeStory,接着拍,Pick it back up,,Plans home,首页,"Used instead of `todaysStory` when nothing was started today but something is still unfinished — saying ""today's story"" then would be a lie about what the card "
startTodayLabel,今天,Today,,Plans home,首页,
startTodayBody,还没开始今天的故事,Today's story hasn't started,,Plans home,首页,
startTodayCTA,开始今天的故事,Start today's story,,Plans home,首页,
yourStories,你的故事,Your stories,,Plans home,HomeStories,"Heads the reverse-chronological list below today's story. Replaces the old ""your other plans"" / ""finished films"" split, which sorted by state and so couldn't an"
todayLabel,今天,Today,,Plans home,StoryTimeline,
yesterdayLabel,昨天,Yesterday,,Plans home,StoryTimeline,
continueTodaysStory,继续今天的故事,Continue today's story,,Plans home,首页 · 故事卡片,
watchYourFilm,看看你的影片,Watch your film,,Plans home,首页 · 故事卡片,
startTodaysStory,开始今天的故事,Start today's story,,Plans home,首页,
noStoryTitle,今天还没有故事,No story yet today,,Plans home,首页,
noStoryBody,选一种心情，拍下几个小瞬间，1Day 会把它们变成一部影片。,"Pick a mood, film a few tiny moments, and 1Day turns them into one film.",,Plans home,首页,
sharedLabel,共享,Shared,,Plans home,首页 · 故事卡片,
momentsShort,\(total) 个瞬间,\(total) \(momentWord(total)),YES,Plans home,新建故事 · 题目卡片,Chip-length moment count. `momentCount` is a full sentence and blows a capsule out to four lines.
templateRuntime,每段 \(secondsLabel),\(secondsLabel) each,YES,Plans home,新建故事 · 题目卡片,"""2s each"" — the per-clip length on a template card."
youLabel,你,You,,Plans home,房间成员名字的组装 / 故事页 · 时间线上的片段,
yoursLabel,自建,Yours,,Plans home,新建故事 · 题目卡片,
openMomentLabel,还没拍：\(moment),Still open: \(moment),YES,Plans home,首页 · 故事卡片,"One open moment, named on the home card so the story has a face on it.  It says ""还没拍"" rather than ""接下来"" on purpose: the button beside it opens this moment becau"
storyCardCaption,影片已经准备好了,Your film is ready,,Plans home,首页 · 故事卡片,
filmReadySubtitle,影片完成 · \(duration),Film ready · \(duration),YES,Plans home,首页 · 故事卡片,
customTemplateBlurb,你自己写的小脚本。,Your own little script.,,Plans home,ModelDisplayText,
noPrompts,无题目,No prompts,,Plans home,新建故事 · 题目卡片,
composerSetupStep,设置,Set it up,,Story composer,新建故事 · 海报和设置,
newStoryQuestion,今天会是什么故事？,What will today's story be?,,Story composer,新建故事 · 海报和设置,
pickOneCreatesIt,选一张，就建好了,One tap creates it,,Story composer,新建故事 · 海报和设置,"The one-screen composer: the poster *is* the submit button, so the label above the grid has to say so — there is no 下一步 left to imply it."
captionGestureHint,拖动移位置 · 两指捏大小 · 两指转角度,Drag to move · Pinch to resize · Twist to turn,,Story composer,回看页（拍完看这一段）,"Shown under a caption the first time it is selected, then never again. Three gestures, in the order people reach for them."
deleteCaptionAction,删除字幕,Delete caption,,Story composer,回看页（拍完看这一段）,"The ✕ on the selected caption's box, and the corner opposite it. Both are icon-only on screen, so these exist for VoiceOver and for the tests."
captionResizeHandle,缩放和旋转字幕,Resize and rotate caption,,Story composer,回看页（拍完看这一段）,
captionPlateSample,字,Aa,,Story composer,回看页（拍完看这一段）,"What the four backing samples say. One character in Chinese, two letters in English — enough to show the colour on the backing, short enough that four samples f"
captionPlateName,不加底,No backing,,Story composer,回看页（拍完看这一段）,"The samples are pictures, so these exist for VoiceOver and the tests."
captionEditAction,改字幕,Edit caption,,Story composer,回看页（拍完看这一段）,On the button once a caption exists: it edits rather than adds.
chatShort,聊天,Chat,,Story composer,回看页（拍完看这一段）,"Beside two other buttons on one row, so it is the short form."
avatarColourN,头像颜色 \(number),Avatar colour \(number),YES,Story composer,设置页「我」,"The seven dots under your avatar are colours, and a colour has no name worth saying out loud — numbered so VoiceOver can count them."
catchUpDayLabel,补第 \(day) 天 · \(moment),Catch up day \(day) · \(moment),YES,- A story's cover,首页 · 故事卡片,"On the home card when the button opens a day that isn't today, because today's is already filmed and an earlier one is missing."
openSystemSettings,打开系统设置,Open Settings,,- A story's cover,成片页 · 底部按钮,"Next to the ""needs photo access"" line, so the dead end has a door."
storyCoverTitle,换封面,Change cover,,- A story's cover,故事页 · 换封面 / 故事页,
coverFromClips,从拍好的片段里选,From what you filmed,,- A story's cover,故事页 · 换封面,"First of the three sources, because a frame out of the day is the most honest cover a story can have."
coverFromPhotos,从相册选一张,Choose from photos,,- A story's cover,故事页 · 换封面,
coverFromLibrary,素材库,Cover library,,- A story's cover,故事页 · 换封面,
useThisFrame,用这张,Use this one,,- A story's cover,故事页 · 换封面,"Confirms the lifted frame. The frame is on screen above it, so the word is 这张 and not ""保存""."
coverKeepFilming,改回跟着拍摄变,Follow what I film,,- A story's cover,故事页 · 换封面,"Back to the automatic cover — newest clip, then the poster. Named after what it does next, not after ""reset""."
nextReminderAt,下一次提醒：\(when),Next reminder: \(when),YES,- A story's cover,设置页「我」,Under the evening reminder switch: when it will actually go off.
reminderNothingToNudge,今天没有要提醒的故事 —— 建一个就会排上,Nothing to remind you about yet — start a story and it'll queue up,,- A story's cover,设置页「我」,"Nothing unfilmed means nothing to nudge about — true, and worth saying, because it is otherwise identical to a broken switch."
reminderBlocked,系统里关掉了通知，到「设置 › 通知 › 1Day」打开,Notifications are off in iOS Settings › Notifications › 1Day,,- A story's cover,设置页「我」,
coverFrameFailed,这张图没读出来，换一张试试,Couldn't read that picture. Try another.,,- A story's cover,故事页 · 换封面,
followPrompts,跟着题目拍,Follow prompts,,- A story's cover,间接引用（拼在别的文案里）,"The two halves of the one pill selector at the top of the screen. They filter what's below; they are not themselves a thing you ""pick"", which is why they're pil"
recordByTime,按时间拍,Record by time,,- A story's cover,间接引用（拼在别的文案里）,
rackByTime,按时间,By time,,- A story's cover,新建故事 · 海报和设置,"The same two choices as `followPrompts` / `recordByTime`, shortened to share one row with 一日 and 七日. Four segments in a Chinese pill leave about three character"
rackCustom,自己写,Your own,,- A story's cover,新建故事 · 海报和设置,
storySettingsTitle,故事设置,Story settings,,- A story's cover,新建故事 · 海报和设置,"The settings sheet behind a poster's gear, and the button that closes it by creating the story."
startFilmingCTA,开始拍,Start filming,,- A story's cover,新建故事,
noCustomTemplatesYet,还没有自己写的题目。写一组，它就留在这里。,No prompt sets of your own yet. Write one and it stays here.,,- A story's cover,新建故事 · 海报和设置,The empty 自己写 rack: no saved prompt sets yet.
customPromptsTitle,自己写题目,Write your own prompts,,- A story's cover,自己写题目（AI 写瞬间） / 新建故事 · 海报和设置,
customPromptsLead,说一句今天要干嘛，题目我来出,Say what today is for — I'll write the prompts,,- A story's cover,新建故事 · 海报和设置,"On the entry card at the top of the composer, where it has to say what the screen behind it actually does — that one is 说说今天要干嘛 with a sentence in and prompts o"
timeOnlyCaptionNote,字幕由你自己在每段片子上填写，1Day 只负责保留拍摄时间。,You write the captions on each clip; 1Day just keeps the time.,,- A story's cover,新建故事 · 海报和设置,
timeOnlySetupTitle,只记录时间,Time only,,- A story's cover,新建故事 · 海报和设置,
